tanggal,stasiun,pm10,so2,co,o3,no2,categori
12/13/2020,DKI1 (Bunderan HI),29,20,5,29,6,BAIK
12/14/2020,DKI1 (Bunderan HI),25,18,4,29,9,BAIK
12/15/2020,DKI1 (Bunderan HI),26,18,6,24,8,BAIK
12/16/2020,DKI1 (Bunderan HI),21,17,5,19,7,BAIK
12/17/2020,DKI1 (Bunderan HI),24,21,5,30,7,BAIK
12/18/2020,DKI1 (Bunderan HI),25,19,5,25,8,BAIK
12/19/2020,DKI1 (Bunderan HI),27,19,6,24,9,BAIK
12/20/2020,DKI1 (Bunderan HI),37,20,9,19,8,BAIK
12/21/2020,DKI1 (Bunderan HI),17,17,4,14,5,BAIK
12/22/2020,DKI1 (Bunderan HI),23,19,6,16,10,BAIK
12/23/2020,DKI1 (Bunderan HI),43,26,7,26,13,SEDANG
12/24/2020,DKI1 (Bunderan HI),40,26,8,31,8,SEDANG
12/25/2020,DKI1 (Bunderan HI),23,23,4,25,5,BAIK
12/26/2020,DKI1 (Bunderan HI),23,26,3,30,6,BAIK
12/27/2020,DKI1 (Bunderan HI),24,26,5,35,5,BAIK
12/28/2020,DKI1 (Bunderan HI),26,27,4,33,8,BAIK
12/29/2020,DKI1 (Bunderan HI),21,23,5,28,6,BAIK
12/30/2020,DKI1 (Bunderan HI),19,22,4,25,7,BAIK
12/31/2020,DKI1 (Bunderan HI),26,25,8,29,10,BAIK
1/1/2021,DKI1 (Bunderan HI),38,29,6,31,13,SEDANG
1/2/2021,DKI1 (Bunderan HI),27,27,7,47,7,BAIK
1/3/2021,DKI1 (Bunderan HI),44,25,7,40,13,SEDANG
1/4/2021,DKI1 (Bunderan HI),30,24,4,32,7,BAIK
1/5/2021,DKI1 (Bunderan HI),38,24,6,31,9,SEDANG
1/6/2021,DKI1 (Bunderan HI),41,23,13,46,13,SEDANG
1/7/2021,DKI1 (Bunderan HI),35,22,6,39,10,BAIK
1/8/2021,DKI1 (Bunderan HI),37,26,16,17,10,SEDANG
1/9/2021,DKI1 (Bunderan HI),47,16,27,22,12,SEDANG
1/10/2021,DKI1 (Bunderan HI),23,16,11,33,8,BAIK
